policy,family,value,metric_p50,metric_p25,metric_p75
ippo,bandwidth,0.0,0.0023840971187983626,0.00012640470436182038,0.010063192309028609
maddpg,bandwidth,0.0,0.011344107712493584,0.0020108836550956537,0.025455153790523988
mappo,bandwidth,0.0,0.0036898952270760918,0.00023457484816791826,0.012086789380245738
mean,spoof,0.0,3.211580940949543e-05,2.178768201659893e-05,8.941568110463813e-05
median,spoof,0.0,0.017521414751819175,0.003464201937702892,0.034723517054233134
ippo,spoof,0.0,0.0023840971187983626,0.00012640470436182038,0.010063192309028609
maddpg,spoof,0.0,0.011344107712493584,0.0020108836550956537,0.025455153790523988
mappo,spoof,0.0,0.0036898952270760918,0.00023457484816791826,0.012086789380245738
mean,spoof,0.1,6.529744513205603,5.154648698777713,8.078414308110956
median,spoof,0.1,0.8099005183931465,0.6888407949953468,2.320610743571437
ippo,spoof,0.1,3.058998493454344,1.9856668782821223,4.482289226857086
maddpg,spoof,0.1,1.6816030182871267,1.1071534238134704,2.79610074941364
mappo,spoof,0.1,1.6325633371409887,0.8554929228097603,2.9428225454962975
mean,spoof,0.3,7.070056476753795,5.253219216770935,9.330147387296948
median,spoof,0.3,7.070056476753795,5.253219216770935,9.330147387296948
ippo,spoof,0.3,7.070056476753795,5.0988547032456095,9.451093479826389
maddpg,spoof,0.3,6.6018796390887236,5.0988547032456095,9.362829090966509
mappo,spoof,0.3,6.6018796390887236,5.0988547032456095,9.421045952714659
mean,spoof,0.5,7.070056476753795,5.253219216770935,9.330147387296948
