strategy,bits,consensus_error
trimmed,4.0,0.029501102713045495
trimmed,4.0,0.011124217362269708
trimmed,4.0,0.014201134227538745
trimmed,4.0,0.04168869706395577
trimmed,4.0,0.022844475842240586
trimmed,8.0,0.002855409923785872
trimmed,8.0,0.0009478718525718528
trimmed,8.0,0.0003326142678545118
trimmed,8.0,0.008515241514718549
trimmed,8.0,3.6174619351741425e-05
trimmed,8.0,0.019512797850306775
trimmed,8.0,0.05394665843973321
trimmed,8.0,2.314819847553178e-06
trimmed,8.0,0.008582280687213168
trimmed,8.0,0.001510230288527491
trimmed,32.0,0.0028572961100505447
trimmed,32.0,0.0013177922597973784
trimmed,32.0,0.00035887651848145053
trimmed,32.0,0.007174937343838212
trimmed,32.0,0.0002950241189745932
trimmed,32.0,0.015035469072286142
trimmed,32.0,0.05156425581655194
trimmed,32.0,8.27776367096551e-07
trimmed,32.0,0.010978249612222189
trimmed,32.0,0.0006960759565348241
gnn,1.0,7.454983266696537
gnn,1.0,8.595595995836637
gnn,1.0,7.799711024737853
gnn,1.0,8.838735351976997
gnn,1.0,8.447253903499728
gnn,1.0,5.698020894744664
gnn,1.0,8.441763174798282
gnn,1.0,7.186856939724356
gnn,1.0,9.174792962760373
gnn,1.0,7.327003089270528
gnn,2.0,0.7985804118009804
gnn,2.0,0.8714431621144962
gnn,2.0,0.7477463953103614
gnn,2.0,0.8988448388331655
gnn,2.0,0.9434519743794425
gnn,2.0,0.44909669062282953
gnn,2.0,0.8249997591869296
gnn,2.0,0.6253308941875082
gnn,2.0,1.02751717281237
gnn,2.0,0.6886062364382178
gnn,3.0,0.032724334186589904
gnn,3.0,0.22169802463153138
gnn,3.0,0.0004346065892425851
gnn,3.0,1.0816013177912798
gnn,3.0,0.2627217300995156
gnn,3.0,0.40828977929121557
gnn,3.0,0.9021368724847558
gnn,3.0,0.6464780542050326
gnn,3.0,0.1526524361431955
gnn,3.0,0.6384245922044133
gnn,4.0,0.002272677668951229
gnn,4.0,0.011366908217318485
gnn,4.0,0.036969575278527955
gnn,4.0,0.009895336253669174
gnn,4.0,0.0018544708415189942
gnn,4.0,0.045087266521609715
gnn,4.0,0.7396397846054724
gnn,4.0,0.07886605055035502
gnn,4.0,0.07238106744586256
gnn,4.0,0.08925267412100021
gnn,8.0,0.00028815993421778735
gnn,8.0,0.00017319950902034087
gnn,8.0,0.002611491104289177
gnn,8.0,0.00398932984419479
gnn,8.0,0.004432680226762915
gnn,8.0,0.010955742185394624
gnn,8.0,0.00206799685917255
gnn,8.0,0.010309571464854598
gnn,8.0,0.0032887386175669752
gnn,8.0,0.007302408849418983
gnn,32.0,6.0372572031548625e-05
gnn,32.0,4.9104703306526024e-05
gnn,32.0,0.002393203337764208
gnn,32.0,0.004723145480545465
gnn,32.0,0.004203234239461795
gnn,32.0,0.00972233894718547
gnn,32.0,0.002587856760752014
gnn,32.0,0.01172491257145881
gnn,32.0,0.003582998600714917
gnn,32.0,0.006313524611315617
oracle,1.0,7.575305849610262
oracle,1.0,8.520411097841325
oracle,1.0,6.719893863334616
oracle,1.0,8.845284871288465
oracle,1.0,8.083010659016864
oracle,1.0,5.6980211138093155
oracle,1.0,8.44176408726737
oracle,1.0,7.1868574670603875
oracle,1.0,7.8694451167263795
oracle,1.0,7.3270037185415
oracle,2.0,0.5659964437769569
oracle,2.0,0.8445138062003036
oracle,2.0,0.35079063243459085
oracle,2.0,0.9488754154878005
oracle,2.0,0.7107562411886575
oracle,2.0,0.14980987710256696
oracle,2.0,0.819878465915872
oracle,2.0,0.46353151507056395
