benchmark,strategy,n_agents,steps,topology,return,final_disagreement,consensus_error,msgs_sent,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode,domain,demand,lambda_opt,final_lambda_disagreement,final_power_mismatch,final_cost_gap,final_dispatch_regret,phys_violation_frac,phys_infeasible,phys_max_loading,phys_pmin,phys_pmax
consensus,mean,20,60,ring_plus,-1.8892774450780992e-08,1.8892774450780992e-08,0.0045675330323095,5040.0,0.0,0.4948412698412698,0.0,0.0,5040.0,2546.0,0.5051587301587301,0.4948412698412698,81472.0,32.0,0.0,2546.0,0.0,0.0,2494.0,0.0,0.0,0.0,mean,0.7193026185588939,0.9944832643382132,1.0,1.363299526492748e-07,-0.1817867208499448,11.0,1.0,1.399646125476325,0.4657262370598906,cons__mean,cons__mean,msg_drop,0.5,0,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-4.586601263883119e-07,4.586601263883119e-07,0.0006991889183308,5400.0,0.0,0.5125925925925926,0.0,0.0,5400.0,2632.0,0.4874074074074074,0.5125925925925926,84224.0,32.0,0.0,2632.0,0.0,0.0,2768.0,0.0,0.0,0.0,mean,0.75959247889839,0.9845217395628376,1.0,2.071283255353332e-06,-0.2847032080598578,10.0,1.0,1.320493917398932,0.4429876743775902,cons__mean,cons__mean,msg_drop,0.5,1,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-6.6584728433883885e-09,6.6584728433883885e-09,0.0029639526951452,6120.0,0.0,0.4980392156862745,0.0,0.0,6120.0,3072.0,0.5019607843137255,0.4980392156862745,98304.0,32.0,0.0,3072.0,0.0,0.0,3048.0,0.0,0.0,0.0,mean,0.7051443032456446,0.9973430575906064,1.0,5.334178236315016e-08,-0.3046854193717049,9.0,1.0,1.55469612182113,0.6509571682410304,cons__mean,cons__mean,msg_drop,0.5,2,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-2.4591041672052496e-07,2.4591041672052496e-07,0.0165334903244992,5040.0,0.0,0.4912698412698412,0.0,0.0,5040.0,2564.0,0.5087301587301587,0.4912698412698413,82048.0,32.0,0.0,2564.0,0.0,0.0,2476.0,0.0,0.0,0.0,mean,0.7402382442204283,0.9984912506830844,1.0,1.734058242528126e-06,-0.4374433105823934,13.0,1.0,1.2627284000071304,0.4408661274809896,cons__mean,cons__mean,msg_drop,0.5,3,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-1.1100722593869273e-07,1.1100722593869273e-07,0.0067506605296778,5640.0,0.0,0.4929078014184397,0.0,0.0,5640.0,2860.0,0.5070921985815603,0.4929078014184397,91520.0,32.0,0.0,2860.0,0.0,0.0,2780.0,0.0,0.0,0.0,mean,0.7447585308208057,0.9949579347528184,1.0,6.284111974592643e-07,-0.2570986054593721,11.0,1.0,1.3711704029417888,0.5340062463253034,cons__mean,cons__mean,msg_drop,0.5,4,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-1.0191287700603793e-07,1.0191287700603793e-07,0.0119936704071199,6360.0,0.0,0.4982704402515723,0.0,0.0,6360.0,3191.0,0.5017295597484277,0.4982704402515723,102112.0,32.0,0.0,3191.0,0.0,0.0,3169.0,0.0,0.0,0.0,mean,0.736713846844107,0.9963542239888996,1.0,6.617358587505715e-07,-0.2545969125459649,13.0,1.0,1.6160985120576443,0.6971942483963592,cons__mean,cons__mean,msg_drop,0.5,5,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-2.611674999098844e-05,2.611674999098844e-05,0.0027108332654929,4680.0,0.0,0.4957264957264957,0.0,0.0,4680.0,2360.0,0.5042735042735043,0.4957264957264957,75520.0,32.0,0.0,2360.0,0.0,0.0,2320.0,0.0,0.0,0.0,mean,0.8232013494331685,0.9820578915102164,0.9833333333333332,0.0001576018999846,-0.3500851271951617,13.0,1.0,0.9450014459069908,0.2727712140326875,cons__mean,cons__mean,msg_drop,0.5,6,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-8.246598644554381e-10,8.246598644554381e-10,0.0011626573708637,6480.0,0.0,0.4938271604938271,0.0,0.0,6480.0,3280.0,0.5061728395061729,0.4938271604938271,104960.0,32.0,0.0,3280.0,0.0,0.0,3200.0,0.0,0.0,0.0,mean,0.6832458133064021,0.9958362119733613,1.0,9.274710171841624e-09,-0.3212184241750952,8.0,1.0,2.218617553571293,0.9086323039632472,cons__mean,cons__mean,msg_drop,0.5,7,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-7.071922197025373e-06,7.071922197025373e-06,0.0063593386792337,4200.0,0.0,0.5102380952380953,0.0,0.0,4200.0,2057.0,0.4897619047619048,0.5102380952380952,65824.0,32.0,0.0,2057.0,0.0,0.0,2143.0,0.0,0.0,0.0,mean,0.7988398136065021,0.9970455134080116,1.0,2.8863265692870508e-05,-0.2253605799955913,15.0,1.0,0.7964836768628718,0.1632137520662447,cons__mean,cons__mean,msg_drop,0.5,8,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-8.387855272291853e-05,8.387855272291853e-05,0.0007260044943449,5280.0,0.0,0.5085227272727273,0.0,0.0,5280.0,2595.0,0.4914772727272727,0.5085227272727273,83040.0,32.0,0.0,2595.0,0.0,0.0,2685.0,0.0,0.0,0.0,mean,0.836643246105142,0.9809700332771332,0.9833333333333332,0.0001869891429657,-0.2458990541905414,13.0,1.0,0.941329103508428,0.3273502839712116,cons__mean,cons__mean,msg_drop,0.5,9,0,,,,,,,,,,,,
