benchmark,strategy,n_agents,steps,topology,return,final_disagreement,consensus_error,msgs_sent,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode,hetero_level
consensus,mean,20,60,ring_plus,-0.013229599495283382,0.013229599495283382,0.058065499752923355,4622,0.0,0.19948074426655127,0.0,0.0,4622.0,3700.0,0.8005192557334487,0.19948074426655127,118400.0,32.0,0.0,3700.0,0.0,0.0,922.0,0.0,0.0,0.0,mean,0.9437440871438953,0.6341477832261412,0.6666666666666666,0.02159280601404463,-0.18156622783990306,9.0,1.0,1.399646125476325,0.9803260665402663,cons__mean,cons__mean,hetero,0.75,0,0,0.75
consensus,mean,20,60,ring_plus,-0.02669083843037424,0.02669083843037424,0.028216216875749645,4698,0.0,0.20604512558535548,0.0,0.0,4698.0,3730.0,0.7939548744146445,0.20604512558535548,119360.0,32.0,0.0,3730.0,0.0,0.0,968.0,0.0,0.0,0.0,mean,0.9022219383590017,0.6665737837276556,0.6,0.02394209086324336,-0.28425836839702046,13.0,1.0,1.320493917398932,0.7543729547566385,cons__mean,cons__mean,hetero,0.75,1,0,0.75
consensus,mean,20,60,ring_plus,-0.008578138432579657,0.008578138432579657,0.022303353770588223,5191,0.0,0.2074744750529763,0.0,0.0,5191.0,4114.0,0.7925255249470237,0.20747447505297634,131648.0,32.0,0.0,4114.0,0.0,0.0,1077.0,0.0,0.0,0.0,mean,0.9005968848567106,0.7050156304170891,0.6666666666666666,0.008164798813741365,-0.30454245050880324,9.0,1.0,1.55469612182113,1.1784232760445703,cons__mean,cons__mean,hetero,0.75,2,0,0.75
consensus,mean,20,60,ring_plus,-0.0056944320892171356,0.0056944320892171356,0.007739729289265936,4547,0.0,0.19397404882340005,0.0,0.0,4547.0,3665.0,0.8060259511765999,0.19397404882340008,117280.0,32.0,0.0,3665.0,0.0,0.0,882.0,0.0,0.0,0.0,mean,0.8539539595471956,0.7554044880769124,0.75,0.004581957555132986,-0.4373484074794133,12.0,1.0,1.2627284000071304,0.9619010113164264,cons__mean,cons__mean,hetero,0.75,3,0,0.75
consensus,mean,20,60,ring_plus,-0.03040685385700042,0.03040685385700042,0.023009777335028563,5494,0.0,0.20458682198762287,0.0,0.0,5494.0,4370.0,0.7954131780123771,0.2045868219876229,139840.0,32.0,0.0,4370.0,0.0,0.0,1124.0,0.0,0.0,0.0,mean,0.8753924610648491,0.7066612357830686,0.6166666666666667,0.027762897588696833,-0.2565918264118758,9.0,1.0,1.3711704029417888,1.1408538492301352,cons__mean,cons__mean,hetero,0.75,4,0,0.75
consensus,mean,20,60,ring_plus,-0.0032717456388071703,0.0032717456388071703,0.006457521564197777,5242,0.0,0.1997329263639832,0.0,0.0,5242.0,4195.0,0.8002670736360168,0.1997329263639832,134240.0,32.0,0.0,4195.0,0.0,0.0,1047.0,0.0,0.0,0.0,mean,0.705898522925973,0.9937348230485082,0.7333333333333333,0.003831131640988916,-0.2545423851505327,15.0,1.0,1.6160985120576443,1.0582501143517329,cons__mean,cons__mean,hetero,0.75,5,0,0.75
consensus,mean,20,60,ring_plus,-0.01839680179835092,0.01839680179835092,0.20867576617273928,4044,0.0,0.18818001978239368,0.0,0.0,4044.0,3283.0,0.8118199802176064,0.18818001978239363,105056.0,32.0,0.0,3283.0,0.0,0.0,761.0,0.0,0.0,0.0,mean,0.8978811389767424,0.7956704539390634,0.75,0.01539689830755987,-0.3497789491110225,12.0,1.0,0.9450014459069909,0.6122407164042175,cons__mean,cons__mean,hetero,0.75,6,0,0.75
consensus,mean,20,60,ring_plus,-0.0014384552514881102,0.0014384552514881102,0.03143708096429822,5529,0.0,0.19497196599746788,0.0,0.0,5529.0,4451.0,0.8050280340025321,0.1949719659974679,142432.0,32.0,0.0,4451.0,0.0,0.0,1078.0,0.0,0.0,0.0,mean,0.8479206216616821,0.6676745293915671,0.6333333333333333,0.0022860624262119596,-0.32119444993464813,8.0,1.0,2.218617553571293,1.4644706002315488,cons__mean,cons__mean,hetero,0.75,7,0,0.75
consensus,mean,20,60,ring_plus,-0.0007914586016309353,0.0007914586016309353,0.03671372624990504,3809,0.0,0.21370438435284853,0.0,0.0,3809.0,2995.0,0.7862956156471514,0.21370438435284855,95840.0,32.0,0.0,2995.0,0.0,0.0,814.0,0.0,0.0,0.0,mean,0.851637472445136,0.9915760654884885,0.8833333333333333,0.0009305314676435417,-0.22534750688426744,22.0,1.0,0.7964836768628718,0.5050653260251191,cons__mean,cons__mean,hetero,0.75,8,0,0.75
consensus,mean,20,60,ring_plus,-0.017013944903241963,0.017013944903241963,0.03596591471816281,4728,0.0,0.20156514382402707,0.0,0.0,4728.0,3775.0,0.7984348561759729,0.20156514382402713,120800.0,32.0,0.0,3775.0,0.0,0.0,953.0,0.0,0.0,0.0,mean,0.9268470556312932,0.7901357344813226,0.7,0.018704426023361444,-0.24561688641803275,14.0,1.0,0.9413291035084279,0.7308020831733754,cons__mean,cons__mean,hetero,0.75,9,0,0.75
