strategy,n_agents,cond,seed,final_disagreement,lyap_rho,msgs_sent
oracle,40,clean,3,1.2351573348045302e-21,0.42369229682614523,2400
oracle,40,clean,4,1.0524101197815493e-21,0.4239670394440146,2400
oracle,40,clean,5,9.461580995101818e-22,0.4226821976668853,2400
oracle,40,clean,6,1.1727400444038299e-21,0.4237812554947688,2400
oracle,40,clean,7,9.132547229347723e-22,0.42274604630917173,2400
oracle,40,clean,8,1.3517065667684919e-21,0.42353765237244456,2400
oracle,40,clean,9,1.3304049171397478e-21,0.4235648911674779,2400
oracle,80,clean,0,2.892667297120208e-21,0.4236498495850806,4800
oracle,80,clean,1,3.590747742362821e-21,0.423297744878577,4800
oracle,80,clean,2,3.326920867313914e-21,0.4234220068925202,4800
oracle,80,clean,3,2.918055133254352e-21,0.4236356110470112,4800
oracle,80,clean,4,2.200215370886112e-21,0.4227030831572771,4800
oracle,80,clean,5,2.441544190187786e-21,0.42252501043040797,4800
oracle,80,clean,6,2.7791973529436264e-21,0.4237150588455859,4800
oracle,80,clean,7,1.9720681637696537e-21,0.42289046918943385,4800
oracle,80,clean,8,2.255986801535729e-21,0.4226602456435436,4800
oracle,80,clean,9,2.4482779079130212e-21,0.42252029890382964,4800
oracle,160,clean,0,5.3059822752881715e-21,0.42266250314148207,9600
oracle,160,clean,1,6.811479972913566e-21,0.42360164529418703,9600
oracle,160,clean,2,6.665788874902422e-21,0.4236351542534774,9600
oracle,160,clean,3,5.919294252050137e-21,0.42381927574669687,9600
oracle,160,clean,4,5.5434905047912855e-21,0.42259132381468795,9600
oracle,160,clean,5,5.208907602600932e-21,0.4226925206745868,9600
oracle,160,clean,6,5.46662169990552e-21,0.42261402007251503,9600
oracle,160,clean,7,5.141072766376903e-21,0.42271383221460185,9600
oracle,160,clean,8,4.970799314127347e-21,0.42276859532804606,9600
oracle,160,clean,9,5.450944173524455e-21,0.42261868835194555,9600
hybrid,10,clean,0,7.921451663788011e-07,0.7678203399113428,1200
hybrid,10,clean,1,2.810103440740431e-07,0.7487506445379004,1200
hybrid,10,clean,2,9.5644401009885e-07,0.7703721657625244,1200
hybrid,10,clean,3,1.2591141257551284e-07,0.7557045349291707,1200
hybrid,10,clean,4,2.911024976738945e-07,0.7669770867684994,1200
hybrid,10,clean,5,3.3011750883143294e-07,0.7690758127306893,1200
hybrid,10,clean,6,2.0071429962470682e-07,0.767918383848032,1200
hybrid,10,clean,7,4.2912851644776035e-08,0.7515146889519114,1200
hybrid,10,clean,8,2.3007488806576082e-07,0.7634603927408322,1200
hybrid,10,clean,9,2.8769160165394643e-07,0.7645940170697171,1200
hybrid,20,clean,0,1.2409967867539947e-06,0.7830075686446647,2640
hybrid,20,clean,1,8.903112563755577e-06,0.7916247452441514,2640
hybrid,20,clean,2,3.765626068806464e-06,0.7892327849290454,2640
hybrid,20,clean,3,3.2635893883568084e-06,0.7914455503525906,2640
hybrid,20,clean,4,6.066440790793918e-06,0.7919605135742328,2640
hybrid,20,clean,5,1.916598232770555e-06,0.78928546891948,2640
hybrid,20,clean,6,8.72791078806557e-06,0.7923214807254506,2640
hybrid,20,clean,7,4.806562340201802e-06,0.7913021182149126,2640
hybrid,20,clean,8,1.3580173600025295e-06,0.7832791551364873,2640
hybrid,20,clean,9,1.0192063299480776e-05,0.7908856572189754,2640
hybrid,40,clean,0,1.3103352858963362e-05,0.7865404901144116,5880
hybrid,40,clean,1,1.1646229820814174e-05,0.7892867694935883,5880
hybrid,40,clean,2,1.1833370519862454e-05,0.7869151616412903,5880
hybrid,40,clean,3,6.644816690636423e-06,0.7853962962815931,5880
hybrid,40,clean,4,4.8243671063608545e-06,0.7869380264406524,5880
hybrid,40,clean,5,1.0504527856774771e-05,0.7922846447687572,5880
hybrid,40,clean,6,2.463614045786452e-05,0.7947419160101251,5880
hybrid,40,clean,7,4.557600689294628e-06,0.7863701571039887,5880
hybrid,40,clean,8,4.538205868548989e-06,0.7826098560595233,5880
hybrid,40,clean,9,4.1584909431611395e-06,0.7858116172725398,5880
hybrid,80,clean,0,1.6227910009374264e-05,0.7828649807676136,12840
hybrid,80,clean,1,1.7175941249159212e-05,0.7824487412128179,12840
