benchmark,n_agents,steps,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,40,60,-2.656142268599302,2.656142268599302,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9725934189723172,0.7816238433660265,1.0,2.842312190034656,-0.7135003815485434,,0.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-0.8946889954699483,0.8946889954699483,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9575915277010052,0.7656663667811385,1.0,0.9607902517742332,-0.8068622849571907,,0.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-1.424629193847783,1.424629193847783,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703463927653713,0.7075792017270481,1.0,1.5399253435041909,-0.6742424107108456,,0.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-0.8267843836276101,0.8267843836276101,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960004090245436,0.807954563649795,1.0,0.8946301481964588,-0.56694216659079,,0.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-0.9706789414840513,0.9706789414840513,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9670785368530601,0.721426643082544,1.0,1.0298470007111165,-0.47862374585156364,,0.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-0.3640864869388913,0.3640864869388913,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9530738653263909,0.8742617452821133,1.0,0.4182749893110924,-0.4387778761433,,0.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-0.838170449093745,0.838170449093745,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9575639333926612,0.8934763340213996,1.0,0.9756828216767569,-0.5374066087080086,,0.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-1.7243694157303193,1.7243694157303193,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9737872521651846,0.8133770360254698,1.0,1.8546538101286254,-0.40063666721770513,,0.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-0.13420774584656797,0.13420774584656797,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9362514575813325,0.8798117796766555,1.0,0.16727460516419934,-0.6332819364630345,35.0,1.0,0.02462331880972404,0.024623318809724036
consensus,40,60,-0.798817665706353,0.798817665706353,0.0,0.0,0.0,0.0,4800.0,4800.0,1.0,0.0,153600.0,32.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9682876164064397,0.644210139388133,1.0,0.8471853670737777,-0.6121898390849161,,0.0,0.02462331880972404,0.024623318809724036
