benchmark,n_agents,steps,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,80,60,-3.757637271170002,3.757637271170002,0.0,0.29802083333333335,0.0,0.0,9600.0,6739.0,0.7019791666666667,0.2980208333333333,215648.0,32.0,0.0,6739.0,0.0,0.0,2861.0,0.0,0.0,0.0,0.9750700332542781,0.7296625179339995,0.9166666666666666,3.90797977754723,-0.8645608658146267,,0.0,0.006165332533743707,-5.243287383580823e-16
consensus,80,60,-1.4127473969597437,1.4127473969597437,0.0,0.3076041666666667,0.0,0.0,9600.0,6647.0,0.6923958333333333,0.3076041666666667,212704.0,32.0,0.0,6647.0,0.0,0.0,2953.0,0.0,0.0,0.0,0.9578646870316752,0.8061801170170908,0.9666666666666667,1.5225937028560603,-1.037129536344467,,0.0,0.006165332533743707,-4.1100555815119413e-16
consensus,80,60,-2.3258656369235,2.3258656369235,0.0,0.295,0.0,0.0,9600.0,6768.0,0.705,0.29500000000000004,216576.0,32.0,0.0,6768.0,0.0,0.0,2832.0,0.0,0.0,0.0,0.9668730106724944,0.7499403099996411,0.9666666666666667,2.483583832802619,-1.1123186969796206,,0.0,0.006165332533743707,5.139758395138039e-05
consensus,160,60,-7.545898299886076,7.545898299886076,0.0,0.29791666666666666,0.0,0.0,19200.0,13480.0,0.7020833333333333,0.2979166666666667,431360.0,32.0,0.0,13480.0,0.0,0.0,5720.0,0.0,0.0,0.0,0.9719801274283526,0.7299567089259422,0.9666666666666667,7.961605566190712,-2.3688970012963364,,0.0,0.0015419275185534988,-8.227336184877413e-16
consensus,160,60,-17.686428509669824,17.686428509669824,0.0,0.30322916666666666,0.0,0.0,19200.0,13378.0,0.6967708333333333,0.30322916666666666,428096.0,32.0,0.0,13378.0,0.0,0.0,5822.0,0.0,0.0,0.0,0.9782499411615606,0.6975745215157816,0.9833333333333333,18.588673183814837,-2.907713647422358,,0.0,0.0015419275185534988,-9.42906887034436e-16
consensus,160,60,-9.83725621191827,9.83725621191827,0.0,0.30125,0.0,0.0,19200.0,13416.0,0.69875,0.30125,429312.0,32.0,0.0,13416.0,0.0,0.0,5784.0,0.0,0.0,0.0,0.9716059381910435,0.7047374912624718,0.9833333333333333,10.251954920105012,-2.9700349086340476,,0.0,0.0015419275185534988,-7.873912507741877e-16
consensus,160,60,-13.884708348771422,13.884708348771422,0.0,0.29770833333333335,0.0,0.0,19200.0,13484.0,0.7022916666666666,0.29770833333333335,431488.0,32.0,0.0,13484.0,0.0,0.0,5716.0,0.0,0.0,0.0,0.9779109325670461,0.7292394661517876,0.9666666666666667,14.55197330968411,-2.551605228188268,,0.0,0.0015419275185534988,-7.517868154414003e-16
consensus,160,60,-13.757737080335502,13.757737080335502,0.0,0.29885416666666664,0.0,0.0,19200.0,13462.0,0.7011458333333334,0.29885416666666664,430784.0,32.0,0.0,13462.0,0.0,0.0,5738.0,0.0,0.0,0.0,0.977356018115002,0.7577922848044405,0.9666666666666667,14.372181093406923,-2.377033458455545,,0.0,0.0015419275185534988,-7.605299349704804e-16
consensus,160,60,-6.2394281618529455,6.2394281618529455,0.0,0.29901041666666667,0.0,0.0,19200.0,13459.0,0.7009895833333334,0.2990104166666666,430688.0,32.0,0.0,13459.0,0.0,0.0,5741.0,0.0,0.0,0.0,0.9681403014294161,0.8230098940751389,1.0,6.878036993752976,-2.345031302494823,,0.0,0.0015419275185534988,-8.112508536281393e-16
consensus,160,60,-11.442118291107443,11.442118291107443,0.0,0.2955729166666667,0.0,0.0,19200.0,13525.0,0.7044270833333334,0.29557291666666663,432800.0,32.0,0.0,13525.0,0.0,0.0,5675.0,0.0,0.0,0.0,0.9756679757863311,0.7571667552204273,0.9666666666666667,12.10422456482771,-2.379486451548949,,0.0,0.0015419275185534988,-6.970652139258577e-16
