benchmark,n_agents,steps,return,final_disagreement,consensus_error,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,80,60,-2.932984475816939e-12,2.932984475816939e-12,0.0017336455758494526,0.0,0.0,0.0,0.0,65160.0,65160.0,1.0,0.0,2085120.0,32.0,0.0,65160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608260630880209,0.9974965454362329,1.0,1.0562408152436537e-10,-1.4499627547792524,7.0,1.0,5.447207591989155,5.447207591989153
consensus,160,60,-1.3413735598419433e-13,1.3413735598419433e-13,6.153817633538749e-05,0.0,0.0,0.0,0.0,242400.0,242400.0,1.0,0.0,7756800.0,32.0,0.0,242400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5709283489671252,0.998560088690346,1.0,9.540744091542112e-12,-2.171299676907794,7.0,1.0,11.78007927678036,11.78007927678036
consensus,160,60,-1.825964063401192e-13,1.825964063401192e-13,0.00015299505868310558,0.0,0.0,0.0,0.0,244800.0,244800.0,1.0,0.0,7833600.0,32.0,0.0,244800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5709014947458846,0.9982231121147539,1.0,1.2138423580801392e-11,-2.6304273032629624,7.0,1.0,14.546070762522843,14.546070762522843
consensus,160,60,-3.656282393943681e-14,3.656282393943681e-14,0.00025020477263614866,0.0,0.0,0.0,0.0,259800.0,259800.0,1.0,0.0,8313600.0,32.0,0.0,259800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5549954607061712,0.9987491113172061,1.0,3.0859210139458713e-12,-2.121038361551486,7.0,1.0,15.926022328960917,15.926022328960917
consensus,160,60,-3.1679332330784616e-14,3.1679332330784616e-14,2.824490774513749e-06,0.0,0.0,0.0,0.0,241560.0,241560.0,1.0,0.0,7729920.0,32.0,0.0,241560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537680981619308,0.9986984957604784,1.0,2.711147277413954e-12,-2.1121712881624246,7.0,1.0,13.141552095129736,13.141552095129741
consensus,160,60,-1.5925779282527325e-14,1.5925779282527325e-14,2.7862075971357496e-05,0.0,0.0,0.0,0.0,245760.0,245760.0,1.0,0.0,7864320.0,32.0,0.0,245760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5477827419106347,0.9983692087484392,1.0,1.4345479540640955e-12,-2.1142457703231554,6.0,1.0,12.022891262530887,12.022891262530885
consensus,160,60,-7.957895199880939e-14,7.957895199880939e-14,7.49495558206708e-07,0.0,0.0,0.0,0.0,238320.0,238320.0,1.0,0.0,7626240.0,32.0,0.0,238320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5617285533475995,0.9983382416790414,1.0,5.988008631332649e-12,-3.012152157981247,6.0,1.0,12.044721222132438,12.04472122213244
consensus,160,60,-2.99827242416258e-14,2.99827242416258e-14,1.1741666629441303e-06,0.0,0.0,0.0,0.0,245400.0,245400.0,1.0,0.0,7852800.0,32.0,0.0,245400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5520269668580908,0.9976176605143159,1.0,2.300165959229102e-12,-2.574754130248737,6.0,1.0,13.310445434599444,13.31044543459944
consensus,160,60,-2.3355712407248665e-13,2.3355712407248665e-13,6.289618104246772e-05,0.0,0.0,0.0,0.0,245520.0,245520.0,1.0,0.0,7856640.0,32.0,0.0,245520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5740032733040109,0.998733256084755,1.0,1.615490455721968e-11,-2.6621612413510127,7.0,1.0,13.577267118707782,13.577267118707786
consensus,160,60,-5.28516166221235e-14,5.28516166221235e-14,0.0006773642033228455,0.0,0.0,0.0,0.0,236760.0,236760.0,1.0,0.0,7576320.0,32.0,0.0,236760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5595139056474832,0.9981569469869073,1.0,4.010574192603338e-12,-2.384028508536367,6.0,1.0,13.90273331754192,13.902733317541918
consensus,160,60,-3.914158576093945e-14,3.914158576093945e-14,0.00035156056516937473,0.0,0.0,0.0,0.0,247800.0,247800.0,1.0,0.0,7929600.0,32.0,0.0,247800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5561765341230511,0.9983506506287008,1.0,3.345303475988889e-12,-2.644076427608359,6.0,1.0,11.120361901988913,11.12036190198891
